Empresa;Ano;Dado Extraído;Valor;Unidade;Fonte (Texto Original);Página
ENGIE_teste_15;2024;percentual_mulheres_lideranca;31.4;%;aumento de 3,8 p.p. (+3,8 p.p vs 2023) em posições de liderança;47
ENGIE_teste_15;2024;percentual_pcd_total;60.0;pessoas;Colaboradores com deficiência ou necessidades especiais GRI 405-1 60 54 54 2022 2023 2024;55
ENGIE_teste_15;2024;quantidade_empregados_ate_30;97.0;empregados;Até 29 anos 97;136
ENGIE_teste_15;2024;quantidade_empregados_30_50;624.0;empregados;Entre 30 e 50 anos 624;136
ENGIE_teste_15;2024;quantidade_empregados_acima_50;76.0;empregados;Mais de 50 anos 76;136
ENGIE_teste_15;2024;percentual_mulheres_total;32.1;%;Em 2024, houve um aumento de 2,7 p.p no número de mulheres no quadro funcional, passando de 29,4% para 32,1%.;57
ENGIE_teste_15;2024;percentual_homens_total;67.9;%;Homens Mulheres 67,9% 32,1%;136
ENGIE_teste_15;2024;quantidade_empregados_negros;218.0;pessoas;Negros 0 1 23 23 47;136
ENGIE_teste_15;2024;quantidade_empregados_brancos;9.0;empregados;Número de Conselheiros por raça Raça Conselheiros Brancos 9;131
ENGIE_teste_15;2024;quantidade_empregados_pcd;60.0;pessoas;Colaboradores com deficiência ou necessidades especiais GRI 405-1 60 54 54 2022 2023 2024;55
ENGIE_teste_15;2024;emissoes_gas_carbonico_2024;259.875;tCO2e;Em 2024, a Companhia emitiu 259.875,76 tCO e na abordagem por controle operacional;73
ENGIE_teste_15;2024;emissoes_gas_carbonico_2023;259.875;tCO2e;Em 2024, a Companhia emitiu 259.875,76 tCO e na abordagem por controle operacional;73
ENGIE_teste_15;2024;emissoes_gas_carbonico_2022;1.108;milhares de tCO2e;As emissões totais de GEE da ENGIE Brasil Energia são calculadas e classificadas em Escopo 1 (emissões diretas), Escopo 2 (emissões indiretas por energia adquirida e perdas dos sistemas) e Escopo 3 (outras emissões indiretas), utilizando como base o ano 2021, quando ocorreu a venda do Complexo Termelétrico Jorge Lacerda. Em 2024, a Companhia emitiu 259.875,76 tCO2e na abordagem por controle operacional e 258.914,16 tCO2e na abordagem por participação societária — redução de cerca de 61% em relação ao ano anterior, nas duas abordagens.;72
ENGIE_teste_15;2024;intensidade_emissoes_2024;0.008;tCO2e/MWh;Em 2024, o indicador de emissões por geração — quantidade de gás carbônico equivalente emitido para a geração de 1 MWh — atingiu 0,008 tCO e/MWh no controle operacional;74
ENGIE_teste_15;2024;intensidade_emissoes_2023;0.008;tCO2e/MWh;Em 2024, o indicador de emissões por geração — quantidade de gás carbônico equivalente emitido para a geração de 1 MWh — atingiu 0,008 tCO e/MWh no controle operacional;74
ENGIE_teste_15;2024;intensidade_emissoes_2022;0.16;tCO2e/MWh;Intensidade energética (em GJ) 0,16 0,07 0,05 2022 2023 2024;72
ENGIE_teste_15;2024;emissoes_diretas_escopo1_2024;259.875;tCO2e;Em 2024, a Companhia emitiu 259.875,76 tCO e na abordagem por controle operacional e 258.914,16 tCO e na abordagem por participação societária — redução de cerca de 61% em relação ao ano anterior, nas duas abordagens.;72
ENGIE_teste_15;2024;emissoes_indiretas_escopo2_2024;0.0;tCO2e;As emissões indiretas em 2024 foram realizadas na abordagem escolha de compra, sendo as emissões do Escopo 2 zeradas através de certificados de origem (I-RECs), atestando que o consumo de energia da Companhia foi 100% oriunda de fontes renováveis.;73
ENGIE_teste_15;2024;emissoes_indiretas_escopo3_2024;242.514;tCO2e;As emissões do Escopo 3 da ENGIE Brasil Energia totalizaram, em 2024, 242.514,38 tCO e na abordagem por controle operacional e 242.815,14 tCO e na abordagem por participação societária;73
ENGIE_teste_15;2024;percentual_reducao_emissoes_2024;61.0;%;Em 2024, a Companhia emitiu 259.875,76 tCO e na abordagem por controle operacional e 258.914,16 tCO e na abordagem por participação societária — redução de cerca de 61% em relação ao ano anterior, nas duas abordagens.;72
